Show,Season,Episode,Title,Year,Total votes,Average rating,z score
Dexter,7,4,Run,2012,"4,463",8.80,1.09
Dexter,7,5,Swim Deep,2012,"4,042",8.50,0.62
Dexter,7,6,Do the Wrong Thing,2012,"4,109",8.20,0.16
Dexter,7,7,Chemistry,2012,"4,042",8.40,0.47
Dexter,7,8,Argentina,2012,"4,756",8.90,1.24
Dexter,7,9,Helter Skelter,2012,"4,011",8.60,0.78
Dexter,7,10,The Dark...Whatever,2012,"3,886",8.40,0.47
Dexter,7,11,Do You See What I See?,2012,"4,307",8.90,1.24
Dexter,7,12,"Surprise, Motherf**ker!",2012,"6,513",9.30,1.86
Dexter,8,1,A Beautiful Day,2013,"5,616",8.50,0.62
Dexter,8,2,Every Silver Lining...,2013,"4,227",8.00,-0.16
Dexter,8,3,What's Eating Dexter Morgan?,2013,"4,090",8.00,-0.16
Dexter,8,4,Scar Tissue,2013,"4,106",8.00,-0.16
Dexter,8,5,This Little Piggy,2013,"3,997",7.80,-0.47
Dexter,8,6,A Little Reflection,2013,"4,004",7.70,-0.62
Dexter,8,7,Dress Code,2013,"4,110",7.50,-0.93
Dexter,8,8,Are We There Yet?,2013,"4,395",8.00,-0.16
Dexter,8,9,Make Your Own Kind of Music,2013,"4,319",7.30,-1.24
Dexter,8,10,Goodbye Miami,2013,"4,803",6.90,-1.86
Dexter,8,11,Monkey in a Box,2013,"5,104",7.20,-1.40
Dexter,8,12,Remember the Monsters?,2013,"20,089",4.70,-5.27
The Office,1,1,Pilot,2005,"7,857",7.30,-1.24
The Office,1,2,Diversity Day,2005,"7,718",8.10,0.00
The Office,1,3,Health Care,2005,"6,440",7.60,-0.78
The Office,1,4,The Alliance,2005,"6,217",7.90,-0.31
The Office,1,5,Basketball,2005,"6,913",8.30,0.31
The Office,1,6,Hot Girl,2005,"6,133",7.60,-0.78
The Office,2,1,The Dundies,2005,"6,915",8.60,0.78
The Office,2,2,Sexual Harassment,2005,"5,934",8.10,0.00
The Office,2,3,Office Olympics,2005,"5,855",8.20,0.16
The Office,2,4,The Fire,2005,"5,774",8.20,0.16
The Office,2,5,Halloween,2005,"5,424",8.00,-0.16
The Office,2,6,The Fight,2005,"5,431",8.00,-0.16
The Office,2,7,The Client,2005,"5,731",8.50,0.62
The Office,2,8,Performance Review,2005,"5,170",8.00,-0.16
The Office,2,9,E-Mail Surveillance,2005,"5,323",8.20,0.16
The Office,2,10,Christmas Party,2005,"5,902",8.70,0.93
The Office,2,11,Booze Cruise,2006,"5,676",8.50,0.62
The Office,2,12,The Injury,2006,"6,799",9.00,1.40
The Office,2,13,The Secret,2006,"5,052",8.10,0.00
The Office,2,14,The Carpet,2006,"4,984",7.70,-0.62
The Office,2,15,Boys and Girls,2006,"4,953",8.00,-0.16
The Office,2,16,Valentine's Day,2006,"4,976",8.20,0.16
The Office,2,17,Dwight's Speech,2006,"5,282",8.30,0.31
The Office,2,18,Take Your Daughter to Work Day,2006,"5,151",8.20,0.16
The Office,2,19,Michael's Birthday,2006,"4,957",8.00,-0.16
The Office,2,20,Drug Testing,2006,"5,051",8.20,0.16
The Office,2,21,Conflict Resolution,2006,"5,171",8.60,0.78
The Office,2,22,Casino Night,2006,"7,429",9.30,1.86
The Office,3,1,Gay Witch Hunt,2006,"6,674",9.00,1.40
The Office,3,2,The Convention,2006,"4,857",8.10,0.00
The Office,3,3,The Coup,2006,"5,084",8.40,0.47
The Office,3,4,Grief Counseling,2006,"4,865",7.90,-0.31
The Office,3,5,Initiation,2006,"4,729",8.00,-0.16
The Office,3,6,Diwali,2006,"4,956",7.80,-0.47
The Office,3,7,Branch Closing,2006,"4,868",8.50,0.62
The Office,3,8,The Merger,2006,"5,073",8.60,0.78
The Office,3,9,The Convict,2006,"5,085",8.20,0.16
The Office,3,10,A Benihana Christmas,2006,"5,368",8.70,0.93
The Office,3,11,Back from Vacation,2007,"4,821",8.50,0.62
The Office,3,12,Traveling Salesmen,2007,"4,854",8.50,0.62
The Office,3,13,The Return,2007,"5,103",8.70,0.93
The Office,3,14,Ben Franklin,2007,"4,712",7.90,-0.31
The Office,3,15,Phyllis' Wedding,2007,"4,783",8.10,0.00
The Office,3,16,Business School,2007,"5,544",8.80,1.09
The Office,3,17,Cocktails,2007,"4,712",8.30,0.31
The Office,3,18,The Negotiation,2007,"5,400",8.90,1.24
The Office,3,19,Safety Training,2007,"5,004",8.60,0.78
The Office,3,20,Product Recall,2007,"4,934",8.50,0.62
The Office,3,21,Women's Appreciation,2007,"5,009",8.70,0.93
The Office,3,22,Beach Games,2007,"5,797",9.00,1.40
The Office,3,23,The Job,2007,"6,114",9.20,1.71
The Office,4,1,Fun Run,2007,"5,607",8.70,0.93
The Office,4,2,Dunder Mifflin Infinity,2007,"4,641",8.20,0.16
The Office,4,3,Launch Party,2007,"4,531",8.30,0.31
The Office,4,4,Money,2007,"4,850",8.60,0.78
The Office,4,5,Local Ad,2007,"4,992",8.70,0.93
The Office,4,6,Branch Wars,2007,"4,612",8.30,0.31
The Office,4,7,Survivor Man,2007,"4,453",8.10,0.00
The Office,4,8,The Deposition,2007,"4,735",8.60,0.78
The Office,4,9,Dinner Party,2008,"9,216",9.40,2.02
The Office,4,10,Chair Model,2008,"4,373",7.90,-0.31
The Office,4,11,Night Out,2008,"4,559",8.50,0.62
The Office,4,12,Did I Stutter?,2008,"4,367",8.10,0.00
The Office,4,13,Job Fair,2008,"4,186",7.60,-0.78
The Office,4,14,"Goodbye, Toby",2008,"6,226",9.30,1.86
The Office,5,1,Weight Loss,2008,"5,107",8.70,0.93
The Office,5,2,Business Ethics,2008,"4,214",8.10,0.00
The Office,5,3,Baby Shower,2008,"4,211",7.90,-0.31
The Office,5,4,Crime Aid,2008,"4,047",7.90,-0.31
The Office,5,5,Employee Transfer,2008,"4,151",7.90,-0.31
The Office,5,6,Customer Survey,2008,"4,332",8.40,0.47
The Office,5,7,Business Trip,2008,"4,050",8.00,-0.16
The Office,5,8,Frame Toby,2008,"4,505",8.50,0.62
The Office,5,9,The Surplus,2008,"4,458",8.60,0.78
The Office,5,10,Moroccan Christmas,2008,"4,175",8.20,0.16
The Office,5,11,The Duel,2009,"4,360",8.60,0.78
The Office,5,12,Prince Family Paper,2009,"4,190",7.90,-0.31
The Office,5,13,Stress Relief,2009,"13,205",9.70,2.48
The Office,5,14,Lecture Circuit: Part 1,2009,"4,011",8.10,0.00
The Office,5,15,Lecture Circuit: Part 2,2009,"3,955",8.00,-0.16
The Office,5,16,Blood Drive,2009,"3,957",7.90,-0.31
The Office,5,17,Golden Ticket,2009,"4,307",8.60,0.78
The Office,5,18,New Boss,2009,"4,035",8.20,0.16
The Office,5,19,Two Weeks,2009,"4,003",8.30,0.31
The Office,5,20,Dream Team,2009,"4,002",8.10,0.00
The Office,5,21,Michael Scott Paper Company,2009,"4,389",8.60,0.78
The Office,5,22,Heavy Competition,2009,"4,149",8.60,0.78
The Office,5,23,Broke,2009,"5,609",9.20,1.71
The Office,5,24,Casual Friday,2009,"3,977",8.10,0.00
The Office,5,25,Cafe Disco,2009,"4,701",8.70,0.93
The Office,5,28,Company Picnic,2009,"4,751",8.90,1.24
The Office,6,1,Gossip,2009,"4,700",8.70,0.93
The Office,6,2,The Meeting,2009,"3,813",8.00,-0.16
The Office,6,3,The Promotion,2009,"3,793",7.80,-0.47
The Office,6,4,Niagara: Part 1,2009,"6,893",9.30,1.86
The Office,6,5,Niagara: Part 2,2009,"5,882",9.40,2.02
The Office,6,6,Mafia,2009,"4,009",7.50,-0.93
The Office,6,7,The Lover,2009,"4,205",8.50,0.62
The Office,6,8,Koi Pond,2009,"3,814",8.00,-0.16
The Office,6,9,Double Date,2009,"3,777",8.00,-0.16
The Office,6,10,Murder,2009,"4,572",8.60,0.78
The Office,6,11,Shareholder Meeting,2009,"3,804",8.00,-0.16
The Office,6,12,Scott's Tots,2009,"4,368",8.20,0.16
The Office,6,13,Secret Santa,2009,"4,023",8.40,0.47
The Office,6,14,The Banker,2010,"4,897",6.70,-2.17
The Office,6,15,Sabre,2010,"3,652",7.50,-0.93
The Office,6,16,Manager and Salesman,2010,"3,594",7.90,-0.31
The Office,6,17,The Delivery: Part 1,2010,"3,850",8.30,0.31
The Office,6,18,The Delivery: Part 2,2010,"3,844",8.40,0.47
The Office,6,19,St. Patrick's Day,2010,"3,541",7.50,-0.93
The Office,6,20,New Leads,2010,"3,532",7.60,-0.78
The Office,6,21,Happy Hour,2010,"4,029",8.50,0.62
The Office,6,22,Secretary's Day,2010,"3,534",7.70,-0.62
The Office,6,23,Body Language,2010,"3,549",7.80,-0.47
The Office,6,24,The Cover-Up,2010,"3,567",8.00,-0.16
The Office,6,25,The Chump,2010,"3,424",7.60,-0.78
The Office,6,26,Whistleblower,2010,"3,534",7.90,-0.31
The Office,7,1,Nepotism,2010,"4,033",8.20,0.16
The Office,7,2,Counseling,2010,"3,668",8.10,0.00
The Office,7,3,Andy's Play,2010,"3,923",8.10,0.00
The Office,7,4,Sex Ed,2010,"3,608",7.70,-0.62
The Office,7,5,The Sting,2010,"3,525",7.60,-0.78
The Office,7,6,Costume Contest,2010,"3,656",8.00,-0.16
The Office,7,7,Christening,2010,"3,633",7.30,-1.24
The Office,7,8,Viewing Party,2010,"3,593",7.70,-0.62
The Office,7,9,WUPHF.com,2010,"3,482",7.50,-0.93
The Office,7,10,China,2010,"3,685",8.10,0.00
The Office,7,11,Classy Christmas,2010,"4,680",8.90,1.24
The Office,7,12,Ultimatum,2011,"3,730",8.20,0.16
The Office,7,13,The Seminar,2011,"3,539",7.50,-0.93
The Office,7,14,The Search,2011,"3,924",8.40,0.47
The Office,7,15,PDA,2011,"3,813",8.30,0.31
The Office,7,16,Threat Level Midnight,2011,"8,060",9.30,1.86
The Office,7,17,Todd Packer,2011,"3,478",7.30,-1.24
The Office,7,18,Garage Sale,2011,"6,223",9.30,1.86
The Office,7,19,Training Day,2011,"3,607",7.60,-0.78
The Office,7,20,Michael's Last Dundies,2011,"5,162",8.90,1.24
The Office,7,21,"Goodbye, Michael",2011,"13,933",9.80,2.64
The Office,7,22,The Inner Circle,2011,"3,600",7.50,-0.93
The Office,7,23,"Dwight K. Schrute, (Acting) Manager",2011,"3,927",8.60,0.78
The Office,7,24,Search Committee,2011,"4,127",8.60,0.78
The Office,8,1,The List,2011,"3,782",8.00,-0.16
The Office,8,2,The Incentive,2011,"3,570",8.00,-0.16
The Office,8,3,Lotto,2011,"3,410",7.20,-1.40
The Office,8,4,Garden Party,2011,"3,740",8.00,-0.16
The Office,8,5,Spooked,2011,"3,345",7.40,-1.09
The Office,8,6,Doomsday,2011,"3,225",7.50,-0.93
The Office,8,7,Pam's Replacement,2011,"3,462",7.60,-0.78
The Office,8,8,Gettysburg,2011,"3,453",6.70,-2.17
The Office,8,9,Mrs. California,2011,"3,373",7.50,-0.93
The Office,8,10,Christmas Wishes,2011,"3,302",7.80,-0.47
The Office,8,11,Trivia,2012,"3,273",7.80,-0.47
The Office,8,12,Pool Party,2012,"3,550",7.90,-0.31
The Office,8,13,Jury Duty,2012,"3,191",7.30,-1.24
The Office,8,14,Special Project,2012,"3,113",7.50,-0.93
The Office,8,15,Tallahassee,2012,"3,288",7.70,-0.62
The Office,8,16,After Hours,2012,"3,410",7.90,-0.31
The Office,8,17,Test the Store,2012,"3,247",7.70,-0.62
The Office,8,18,Last Day in Florida,2012,"3,166",7.70,-0.62
The Office,8,19,Get the Girl,2012,"3,698",6.40,-2.64
The Office,8,20,Welcome Party,2012,"3,261",6.90,-1.86
The Office,8,21,Angry Andy,2012,"3,556",6.80,-2.02
The Office,8,22,Fundraiser,2012,"3,135",6.90,-1.86
The Office,8,23,Turf War,2012,"3,049",7.40,-1.09
The Office,8,24,Free Family Portrait Studio,2012,"3,191",7.60,-0.78
The Office,9,1,New Guys,2012,"3,408",7.40,-1.09
The Office,9,2,Roy's Wedding,2012,"3,257",7.00,-1.71
The Office,9,3,Andy's Ancestry,2012,"3,214",7.20,-1.40
The Office,9,4,Work Bus,2012,"3,419",7.60,-0.78
The Office,9,5,Here Comes Treble,2012,"3,326",6.80,-2.02
The Office,9,6,The Boat,2012,"3,270",7.60,-0.78
The Office,9,7,The Whale,2012,"3,121",7.40,-1.09
The Office,9,8,The Target,2012,"3,267",7.70,-0.62
The Office,9,9,Dwight Christmas,2012,"3,685",8.20,0.16
The Office,9,10,Lice,2013,"3,230",7.50,-0.93
The Office,9,11,Suit Warehouse,2013,"3,175",7.60,-0.78
The Office,9,12,Customer Loyalty,2013,"3,271",7.70,-0.62
The Office,9,13,Junior Salesman,2013,"3,087",7.40,-1.09
The Office,9,14,Vandalism,2013,"3,106",7.20,-1.40
The Office,9,15,Couples Discount,2013,"3,163",7.10,-1.55
The Office,9,16,Moving On,2013,"3,423",7.90,-0.31
The Office,9,17,The Farm,2013,"3,599",7.40,-1.09
The Office,9,18,Promos,2013,"3,181",7.80,-0.47
The Office,9,19,Stairmageddon,2013,"3,293",7.90,-0.31
The Office,9,20,Paper Airplane,2013,"3,391",7.90,-0.31
The Office,9,21,Livin' the Dream,2013,"4,984",9.00,1.40
The Office,9,22,A.A.R.M.,2013,"6,611",9.40,2.02
The Office,9,23,Finale,2013,"17,044",9.80,2.64
TBBT,1,1,Pilot,2007,"6,211",8.20,0.16
TBBT,1,2,The Big Bran Hypothesis,2007,"4,982",8.20,0.16
TBBT,1,3,The Fuzzy Boots Corollary,2007,"4,446",7.70,-0.62
TBBT,1,4,The Luminous Fish Effect,2007,"4,490",8.10,0.00
TBBT,1,5,The Hamburger Postulate,2007,"4,285",7.90,-0.31
TBBT,1,6,The Middle Earth Paradigm,2007,"4,463",8.40,0.47
TBBT,1,7,The Dumpling Paradox,2007,"4,205",8.10,0.00
TBBT,1,8,The Grasshopper Experiment,2007,"4,236",8.20,0.16
TBBT,1,9,The Cooper-Hofstadter Polarization,2008,"4,081",8.00,-0.16
TBBT,1,10,The Loobenfeld Decay,2008,"4,183",8.00,-0.16
TBBT,1,11,The Pancake Batter Anomaly,2008,"4,153",8.20,0.16
TBBT,1,12,The Jerusalem Duality,2008,"3,959",7.90,-0.31
TBBT,1,13,The Bat Jar Conjecture,2008,"4,074",8.30,0.31
TBBT,1,14,The Nerdvana Annihilation,2008,"4,006",8.00,-0.16
TBBT,1,15,The Pork Chop Indeterminacy,2008,"4,212",8.20,0.16
TBBT,1,16,The Peanut Reaction,2008,"3,967",8.30,0.31
TBBT,1,17,The Tangerine Factor,2008,"4,160",8.50,0.62
TBBT,2,1,The Bad Fish Paradigm,2008,"4,049",8.20,0.16
TBBT,2,2,The Codpiece Topology,2008,"3,734",8.00,-0.16
TBBT,2,3,The Barbarian Sublimation,2008,"4,342",8.70,0.93
TBBT,2,4,The Griffin Equivalency,2008,"3,760",7.90,-0.31
TBBT,2,5,The Euclid Alternative,2008,"3,857",8.30,0.31
TBBT,2,6,The Cooper-Nowitzki Theorem,2008,"3,877",8.20,0.16
TBBT,2,7,The Panty Piñata Polarization,2008,"4,113",8.60,0.78
TBBT,2,8,The Lizard-Spock Expansion,2008,"3,709",8.10,0.00
TBBT,2,9,The White Asparagus Triangulation,2008,"3,676",8.10,0.00
TBBT,2,10,The Vartabedian Conundrum,2008,"3,597",7.70,-0.62
TBBT,2,11,The Bath Item Gift Hypothesis,2008,"6,058",9.10,1.55
TBBT,2,12,The Killer Robot Instability,2009,"3,613",7.90,-0.31
TBBT,2,13,The Friendship Algorithm,2009,"3,613",8.00,-0.16
TBBT,2,14,The Financial Permeability,2009,"3,582",8.00,-0.16
TBBT,2,15,The Maternal Capacitance,2009,"4,329",8.80,1.09
TBBT,2,16,The Cushion Saturation,2009,"3,597",8.10,0.00
TBBT,2,17,The Terminator Decoupling,2009,"3,918",8.10,0.00
TBBT,2,18,The Work Song Nanocluster,2009,"3,607",8.10,0.00
TBBT,2,19,The Dead Hooker Juxtaposition,2009,"3,640",8.20,0.16
TBBT,2,20,The Hofstadter Isotope,2009,"3,490",7.90,-0.31
TBBT,2,21,The Vegas Renormalization,2009,"3,780",8.50,0.62
TBBT,2,22,The Classified Materials Turbulence,2009,"3,456",8.20,0.16
TBBT,2,23,The Monopolar Expedition,2009,"3,562",8.20,0.16
TBBT,3,1,The Electric Can Opener Fluctuation,2009,"3,831",8.30,0.31
TBBT,3,2,The Jiminy Conjecture,2009,"3,494",7.80,-0.47
TBBT,3,3,The Gothowitz Deviation,2009,"3,581",8.10,0.00
TBBT,3,4,The Pirate Solution,2009,"3,500",8.00,-0.16
TBBT,3,5,The Creepy Candy Coating Corollary,2009,"3,588",8.30,0.31
TBBT,3,6,The Cornhusker Vortex,2009,"3,379",7.50,-0.93
TBBT,3,7,The Guitarist Amplification,2009,"3,381",7.80,-0.47
TBBT,3,8,The Adhesive Duck Deficiency,2009,"4,816",8.90,1.24
TBBT,3,9,The Vengeance Formulation,2009,"3,573",8.30,0.31
TBBT,3,10,The Gorilla Experiment,2009,"3,639",8.50,0.62
TBBT,3,11,The Maternal Congruence,2009,"3,522",8.30,0.31
TBBT,3,12,The Psychic Vortex,2010,"3,470",8.30,0.31
TBBT,3,13,The Bozeman Reaction,2010,"3,368",8.00,-0.16
TBBT,3,14,The Einstein Approximation,2010,"3,682",8.40,0.47
TBBT,3,15,The Large Hadron Collision,2010,"3,307",8.00,-0.16
TBBT,3,16,The Excelsior Acquisition,2010,"3,422",8.30,0.31
TBBT,3,17,The Precious Fragmentation,2010,"3,627",8.40,0.47
TBBT,3,18,The Pants Alternative,2010,"3,552",8.40,0.47
TBBT,3,19,The Wheaton Recurrence,2010,"3,323",7.90,-0.31
TBBT,3,20,The Spaghetti Catalyst,2010,"3,320",8.10,0.00
TBBT,3,21,The Plimpton Stimulation,2010,"3,566",8.10,0.00
TBBT,3,22,The Staircase Implementation,2010,"4,645",9.00,1.40
TBBT,3,23,The Lunar Excitation,2010,"3,625",8.60,0.78
TBBT,4,1,The Robotic Manipulation,2010,"4,068",8.70,0.93
TBBT,4,2,The Cruciferous Vegetable Amplification,2010,"3,632",8.40,0.47
TBBT,4,3,The Zazzy Substitution,2010,"3,418",7.90,-0.31
TBBT,4,4,The Hot Troll Deviation,2010,"3,419",8.00,-0.16
TBBT,4,5,The Desperation Emanation,2010,"3,265",7.70,-0.62
TBBT,4,6,The Irish Pub Formulation,2010,"3,326",8.00,-0.16
TBBT,4,7,The Apology Insufficiency,2010,"3,369",8.00,-0.16
